time,year,month,reserve,dry_kg,wet_kg,total_kg
4/30/19,2019,4,Serra d'en Galceràn,2481.468687,-5.89E-11,2481.468687
4/30/19,2019,4,Ullals del riu Verd,0,0,0
4/30/19,2019,4,Río Guadalmedina,0,0,0
5/31/19,2019,5,Sierra Plana de la Borbolla,271.6575887,-6.45E-12,271.6575887
5/31/19,2019,5,Rias occidentales y Duna de Oyambre,978.8826356,-2.32E-11,978.8826356
5/31/19,2019,5,Dunas de Liencres y Estuario del Pas,51.43103865,-7.64E-13,51.43103865
5/31/19,2019,5,Balsa del Pulguer,-20.73130025,4.64E-13,-20.73130025
5/31/19,2019,5,Montes del Cerrato,-916.1617575,2.64E-11,-916.1617575
5/31/19,2019,5,Basses de l'Albera,731.3934644,-9.31E-12,731.3934644
5/31/19,2019,5,Les Gavarres,11224.26897,-7.89E-11,11224.26897
5/31/19,2019,5,Prat de Cabanes i Torreblanca,-74.42311959,1.87E-12,-74.42311959
5/31/19,2019,5,Urkiola,1010.474066,-1.10E-11,1010.474066
5/31/19,2019,5,Alto Navia,184.4335448,-1.55E-12,184.4335448
5/31/19,2019,5,Badina Escudera,-19.71086681,4.41E-13,-19.71086681
5/31/19,2019,5,LA GUARGUERA,937.4356613,-5.32E-12,937.4356613
5/31/19,2019,5,TURBERAS DE ACUMUER,0,0,0
5/31/19,2019,5,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
5/31/19,2019,5,Plans de Sió,3257.905247,-4.33E-11,3257.905247
5/31/19,2019,5,Serra d'en Galceràn,2591.122546,-7.16E-11,2591.122546
5/31/19,2019,5,Ullals del riu Verd,0,0,0
5/31/19,2019,5,Río Guadalmedina,0,0,0
6/30/19,2019,6,Sierra Plana de la Borbolla,371.6130255,-7.52E-12,371.6130255
6/30/19,2019,6,Rias occidentales y Duna de Oyambre,734.6562073,-1.51E-11,734.6562073
6/30/19,2019,6,Dunas de Liencres y Estuario del Pas,93.19014856,-1.23E-12,93.19014856
6/30/19,2019,6,Balsa del Pulguer,153.3129089,-1.35E-12,153.3129089
6/30/19,2019,6,Montes del Cerrato,10295.20271,-9.95E-11,10295.20271
6/30/19,2019,6,Basses de l'Albera,852.4023187,-6.62E-12,852.4023187
6/30/19,2019,6,Les Gavarres,44855.0907,-2.47E-10,44855.0907
6/30/19,2019,6,Prat de Cabanes i Torreblanca,1374.675465,-2.36E-11,1374.675465
6/30/19,2019,6,Urkiola,4291.836673,-2.68E-11,4291.836673
6/30/19,2019,6,Alto Navia,-9.230408744,-0.636743317,-9.867152061
6/30/19,2019,6,Badina Escudera,88.47025024,-7.80E-13,88.47025024
6/30/19,2019,6,LA GUARGUERA,239.6375283,-3.09E-12,239.6375283
6/30/19,2019,6,TURBERAS DE ACUMUER,0,0,0
6/30/19,2019,6,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
6/30/19,2019,6,Plans de Sió,2502.442292,-5.11E-11,2502.442292
6/30/19,2019,6,Serra d'en Galceràn,8896.038136,-1.09E-10,8896.038136
6/30/19,2019,6,Ullals del riu Verd,0,0,0
6/30/19,2019,6,Río Guadalmedina,0,0,0
7/31/19,2019,7,Sierra Plana de la Borbolla,1028.882825,-1.87E-11,1028.882825
7/31/19,2019,7,Rias occidentales y Duna de Oyambre,678.6817823,-1.34E-11,678.6817823
